Neuron,KMeansCluster
 OLLR        ,0
 ADEL        ,4
 URYDR       ,4
 AQR         ,4
 vBWMR6        ,0
 vBWML9        ,0
 VD09          ,0
 vBWMR20       ,0
 PVDR        ,0
 DVB         ,4
 VD11        ,4
 VC03        ,4
 VA03          ,0
 VA04          ,0
 VD02          ,0
 AVAL        ,1
 SMBDL       ,4
 PLNL          ,0
 SABD        ,4
 vBWML1        ,0
 vBWML2        ,0
 vBWML6        ,0
 AS10          ,0
 vBWML10       ,0
 vBWML13       ,0
 SABVL         ,0
 DA04          ,0
 DA07          ,0
 DA03          ,0
 AS04          ,0
 DB03        ,4
 VB10        ,0
 VB11        ,0
 VB09        ,0
 AS05        ,4
 AS06        ,4
 DB02        ,4
 DB04        ,4
 VB02        ,4
 VB04        ,4
 VB05        ,4
 VB06        ,4
 VB07        ,4
 VB08        ,4
 VB03        ,4
 vBWML3        ,0
 SMBVL       ,4
 RIAR        ,4
 SAAVL       ,4
 vBWML8        ,0
 vBWML14       ,0
 dBWMR7        ,0
 dBWMR2        ,0
 IL2VR         ,0
 OLQDR         ,0
 CEPVL       ,4
 SDQR          ,0
 dBWMR8        ,0
 dBWMR9        ,0
 dBWMR11       ,0
 dBWMR12       ,0
 dBWMR13       ,0
 dBWMR14       ,0
 dBWMR15       ,0
 dBWMR16       ,0
 PVNL          ,0
 DA01        ,0
 DA02        ,0
 DA03        ,0
 AS01        ,0
 VA12        ,4
 PDB         ,4
 dBWML1        ,0
 dBWML2        ,0
 IL1DR         ,0
 IL1R          ,0
 vBWMR2        ,0
 IL1VR         ,0
 vBWMR5        ,0
 vBWMR8        ,0
 AIMR        ,0
 IL2VR       ,4
 DA01          ,0
 VA09          ,0
 LUAR          ,0
 AS11          ,0
 LUAL          ,0
 DA09          ,0
 RMDDL       ,0
 dBWML13       ,0
 AS02          ,0
 AS07          ,0
 AS08          ,0
 AS09          ,0
 VA05          ,0
 VA07          ,0
 VA10          ,0
 PHCL        ,0
 VA02        ,0
 VA10        ,4
 PHCR        ,0
 AS10        ,4
 DA04        ,4
 URYVR       ,4
 SABVR       ,4
 DA05        ,4
 DA06        ,4
 VA01        ,4
 VA03        ,4
 VA04        ,4
 VA05        ,4
 VA06        ,4
 VA07        ,4
 VA08        ,4
 VA09        ,4
 IL1VL       ,0
 SAADR       ,4
 dBWML7        ,0
 dBWML8        ,0
 dBWML10       ,0
 dBWML11       ,0
 dBWML12       ,0
 dBWML15       ,0
 vBWMR12       ,0
 vBWMR13       ,0
 ALNR        ,0
 ALNL        ,4
 RMDR        ,4
 IL2DR       ,4
 IL2VL       ,4
 AS06          ,0
 PVDL        ,4
 SABVL       ,4
 ALMR          ,0
 IL2R        ,0
 RIFR        ,4
 PVWL        ,0
 VC01        ,4
 AVM           ,0
 URADR         ,0
 PLNR          ,0
 PLML        ,0
 PLMR        ,0
 DVB           ,0
 VC01          ,0
 VC05        ,4
 IL1DR       ,0
 IL1DL       ,0
AIYR ,1
AIMR ,0
AVJL ,1
PVCL ,1
IL2R ,0
IL2VR ,0
RMDVL ,1
SIBVR ,1
AUAR ,0
IL1R ,0
URYDR ,0
AVER ,1
URAVR ,0
PVR ,1
OLQVR ,0
ALA ,0
RMDVR ,1
SMBVR ,1
OLQDR ,0
URADL ,0
AVM ,0
BDUR ,0
PQR ,1
PHAL ,0
PVCR ,1
AVL ,1
PVNL ,1
AVBL ,1
VC01 ,0
VC02 ,1
VC03 ,1
ALML ,0
SIADR ,1
AVDL ,1
 CEPVR       ,0
 IL1R        ,4
 IL1VR       ,0
 VB03          ,0
 PVM           ,0
 AVM         ,4
 vBWMR1        ,0
 CEPDL       ,0
 PHAR          ,0
 PHBR          ,0
 PLNL        ,0
 VD12          ,0
 BDUL        ,4
 VD05          ,0
 DD03          ,1
 VC04        ,4
 vm2pL       ,4
 vm2pR       ,4
IL1VL ,0
ASJL ,0
IL1DL ,0
IL2DR ,0
AVG ,1
AVJR ,1
LUAL ,0
RIFL ,0
LUAR ,1
PVDL ,0
PVDR ,0
PHBL ,1
PHBR ,1
PHCL ,0
VA02 ,1
VA12 ,1
VD06 ,0
PVWR ,0
RMHL ,0
VA04 ,0
VA06 ,0
VD05 ,0
VD11 ,0
VD13 ,1
ALMR ,0
PDER ,0
DVB ,1
PVWL ,0
RMDDR ,0
DA08 ,1
DA09 ,1
PDA ,0
DB07 ,1
AS10 ,0
AS11 ,0
PDB ,0
VA10 ,0
VA11 ,1
VB11 ,1
VD12 ,1
PLML ,0
PLMR ,0
hyp ,1
 PHAL          ,0
 PDB           ,0
 DD05          ,0
 VD10          ,0
 VB05          ,0
 VD09        ,0
 PHCR          ,0
 PLNR        ,0
 VD02        ,4
 vBWMR22       ,0
 vBWMR23       ,0
 vBWML22       ,0
 vBWML23       ,0
 vBWMR24       ,0
 VD05        ,4
 VD07        ,4
 AS02        ,4
 vBWML19       ,0
 vBWMR21       ,0
 VB10          ,0
 DD02        ,4
IL1DR ,0
RMEL ,0
URADR ,0
PVM ,0
VC04 ,0
DA07 ,0
VC05 ,0
PHCR ,0
 PHCL          ,0
SABVR ,1
DA01 ,0
DA02 ,0
DA03 ,1
DA04 ,0
DA05 ,0
DA06 ,0
AS01 ,0
AS03 ,0
AS05 ,0
AS06 ,0
VA01 ,0
VA03 ,0
VA05 ,0
VA07 ,0
VA08 ,0
VA09 ,0
VD01 ,0
RID ,0
RMER ,0
DD06 ,1
SABD ,1
SIBDR ,0
DB01 ,1
DD01 ,0
AS02 ,0
 VD03        ,4
 PDEL          ,0
VB02 ,1
VD02 ,0
 dBWML9      ,4
VC06 ,0
 PDA           ,0
 intL          ,0
 VD11          ,0
 vBWML17       ,0
 vBWMR17       ,0
PDEL ,0
VB06 ,0
VD03 ,0
VD04 ,0
 dBWML21       ,0
 dBWMR21       ,0
 dBWML22       ,0
 dBWML23       ,0
 dBWML24       ,0
 dBWMR22       ,0
 dBWMR24       ,0
VB03 ,1
DB02 ,1
DB04 ,0
DB06 ,0
DD03 ,0
VB04 ,0
VB09 ,0
VB10 ,0
VD09 ,0
VD10 ,0
 dBWML19       ,0
 dBWMR19       ,0
 dBWML20       ,0
 dBWMR20       ,0
AS04 ,0
DD02 ,0
DB03 ,1
DB05 ,0
VB05 ,0
VB07 ,0
VB08 ,0
 VD08          ,0
 dBWML17       ,0
 dBWMR17       ,0
 dBWMR18       ,0
 vBWML18       ,0
 vBWMR18       ,0
 VB08          ,0
 vBWMR19       ,0
 VB09          ,0
VD07 ,0
 VD08        ,4
DD05 ,0
DD04 ,0
 DB06          ,4
AS07 ,0
 DB05          ,0
 DD04        ,4
vm2aL  ,4
vm2pL ,4
vm2pR ,4
dBWML10 ,4
um1pL ,4
vm1pL ,4
um1pR ,4
 pm3d        ,0
 mc1dl       ,0
 mc1dr       ,0
 pm6d        ,0
 mc2dl       ,0
 mc2dr       ,0
 mc2v        ,0
 pm2vl       ,0
 pm3vl       ,0
 pm2vr       ,0
 pm2d        ,0
 mc3dl       ,0
 mc3dr       ,0
 mc3v        ,0
 pm8         ,0
 pm7vr       ,0
pm7d ,0
pm8 ,0
pm7vr ,0
 vBWML7      ,4
 um1aR       ,4
 vm1aL       ,4
 vm1pL       ,4
 vm1pR       ,4
 vBWML6      ,4
 vBWML10     ,4
 dBWML11     ,4
dBWML12 ,4
 dBWML13     ,4
dBWML14 ,4
 dBWML15     ,4
dBWML16 ,4
 dBWML17     ,4
 dBWML19     ,4
dBWML20 ,4
 dBWML21     ,4
dBWMR1 ,4
 dBWMR3      ,4
 dBWMR2      ,4
dBWMR3 ,4
dBWMR2 ,4
dBWMR4 ,4
 dBWMR1      ,4
 dBWMR5      ,4
 dBWMR7      ,4
dBWMR8 ,4
 dBWMR9      ,4
 dBWMR10     ,4
dBWMR11 ,4
 dBWMR12     ,4
 dBWMR17     ,4
 dBWMR18     ,4
dBWMR18 ,4
 dBWMR19     ,4
dBWMR19 ,4
 dBWMR20     ,4
 dBWMR21     ,4
dBWMR21 ,4
 dBWMR22     ,4
dBWMR22 ,4
 dBWMR23     ,4
 vBWML2      ,4
vBWML3 ,4
 vBWML4      ,4
 vBWML5      ,4
vBWML5 ,4
vBWML6 ,4
vBWML11 ,4
 vBWML12     ,4
 vBWML13     ,4
vBWML13 ,4
 vBWML14     ,4
vBWML14 ,4
 vBWML15     ,4
vBWML15 ,4
 vBWML16     ,4
 vBWML17     ,4
vBWML17 ,4
 vBWML18     ,4
vBWML18 ,4
 vBWML19     ,4
 vBWML20     ,4
vBWML20 ,4
 vBWML21     ,4
vBWML21 ,4
 vBWML22     ,4
vBWMR1 ,4
 vBWMR3      ,4
 vBWMR2      ,4
vBWMR3 ,4
vBWMR2 ,4
 vBWMR1      ,4
 vBWMR4      ,4
 vBWMR15     ,4
vBWMR16 ,4
 vBWMR17     ,4
 vBWMR19     ,4
vBWMR20 ,4
 vBWMR21     ,4
intL ,4
 intR        ,4
 anal        ,4
sph ,4
anal ,4
 intL        ,4
 um2pL       ,4
BWM-VL01,0
PLNR,2
ALNL,2
BWM-DR07,0
I2R ,0
NSMR ,0
M3R ,0
pm5d ,0
pm5vl ,0
MCR ,0
pm2vr ,0
pm4vr ,0
mc2v ,0
AWAL ,0
AIYL ,1
ALNL ,0
RMFL ,0
 dBWML9        ,0
IL1VR ,0
RMFR ,0
PHAR ,0
ASJR ,0
 vBWML8      ,4
 DD05        ,4
VD08 ,0
vBWML8 ,4
vBWMR8 ,4
AS09 ,0
vm2aR ,4
AS08 ,0
vBWML7 ,4
vBWML9 ,4
um1aL ,4
vm1aR ,4
pm1vl ,0
pm1vr ,0
pm2d ,0
pm2vl ,0
mc3dl ,0
pm7vl ,0
 dBWML3      ,4
dBWML3 ,4
dBWML2 ,4
dBWML4 ,4
 dBWML1      ,4
 dBWML5      ,4
dBWML6 ,4
dBWML18 ,4
dBWML22 ,4
 dBWML23     ,4
dBWML24 ,4
dBWMR5 ,4
 dBWMR6      ,4
dBWMR6 ,4
dBWMR7 ,4
dBWMR9 ,4
dBWMR10 ,4
dBWMR13 ,4
dBWMR16 ,4
dBWMR17 ,4
dBWMR20 ,4
vBWML10 ,4
 vBWML11     ,4
vBWMR7 ,4
 vBWMR6      ,4
vBWML12 ,4
vBWML16 ,4
vBWML19 ,4
vBWML22 ,4
vBWMR4 ,4
vBWMR5 ,4
vBWMR17 ,4
 vBWMR18     ,4
vBWMR18 ,4
vBWMR19 ,4
intR ,4
um2aR ,4
um2pR ,4
RIBL,3
RIBR,3
RIGR,3
AIAR,3
ASER,3
RIGL,3
IL1VR,2
RMDDL,3
RMDDR,3
RMGL,3
AIZL,3
AIZR,3
AQR,5
RMED,5
ASHL,3
RIPR,2
SDQR,2
SDQL,2
RMER,2
IL1VL,2
RIPL,2
RIR,3
ADEL,5
AIAL,3
AIMR,5
RMEL,2
IL1DR,2
CANR,0
dBWML8 ,4
vm1aL ,4
vm1pR ,4
pm1d ,0
dBWML11 ,4
 dBWML12     ,4
dBWML13 ,4
dBWML15 ,4
 dBWML16     ,4
dBWML17 ,4
dBWML21 ,4
 dBWML22     ,4
dBWML23 ,4
 dBWMR14     ,4
dBWMR15 ,4
dBWMR23 ,4
dBWMR24 ,4
vBWML1 ,4
vBWML4 ,4
vBWML23 ,4
vBWMR10 ,4
 vBWMR11     ,4
vBWMR12 ,4
vBWMR14 ,4
vBWMR21 ,4
 vBWMR22     ,4
vBWMR22 ,4
vBWMR23 ,4
BWM-VR03,0
DB1,4
 I2L           ,0
 MCL           ,0
 pm3vl         ,0
 pm4d          ,0
 MCR         ,0
 pm1vr         ,0
 pm3vr         ,0
 I1L           ,0
 I1R           ,0
 pm4vr         ,0
 pm6vl         ,4
 pm7d          ,0
 mc2dl         ,0
 AFDL          ,0
 AIZL          ,1
 RIGR          ,0
 SMDVL         ,1
 AVJL          ,0
 ASJL          ,0
 ASKL          ,0
 RMGR          ,0
 RMDDR         ,1
 RMDL          ,1
 SIADR         ,0
 RIFL          ,0
 SIADL         ,0
 AVKR          ,0
 ALNL          ,0
 RMEL        ,4
 vm2aR         ,0
 vm2pL         ,0
 RIFL        ,4
 ALA           ,0
 OLLR          ,0
 AWAR        ,0
 VC04          ,0
 HSNL        ,0
 IL2DL         ,0
 URBL          ,0
 IL1DL         ,0
 DB04          ,0
 PDA         ,4
 VD03          ,1
 URADL       ,0
 IL2DR         ,0
 RMFR          ,0
 AS01          ,0
 AS03          ,0
 RID         ,4
 DB05        ,4
 dBWMR1        ,0
 IL2VL         ,0
 dBWMR10       ,0
 dBWML14       ,0
 dBWML16       ,0
 AS03        ,4
 intestine     ,0
 VB06          ,0
 VB04          ,0
 URAVR       ,4
 URADR       ,0
 CEPDR       ,4
 IL2DL       ,4
 PHBL          ,0
 VC06          ,0
 VC02        ,4
 vm2aL       ,4
 vm2aR       ,4
 DB01          ,0
 vBWML21       ,0
 vBWML20       ,0
 VD06        ,0
 VD04        ,4
 VD10        ,4
 AS04        ,4
 DD04          ,0
 dBWMR23       ,0
 dBWML18       ,0
 DD03        ,4
 VB07          ,0
dBWML9 ,4
um1aR ,4
 pm6vl       ,0
 mc1v        ,0
 pm7d        ,0
 pm7vl       ,0
 pm1vl       ,0
 vBWML9      ,4
 vBWMR7      ,4
 vBWMR9      ,4
 um1aL       ,4
 um1pL       ,4
 um1pR       ,4
 vm1aR       ,4
 dBWML8      ,4
 dBWML10     ,4
 vBWMR8      ,4
 dBWML2      ,4
dBWML1 ,4
 dBWML4      ,4
 dBWML6      ,4
dBWML7 ,4
 dBWMR8      ,4
 dBWMR11     ,4
dBWMR12 ,4
 dBWMR13     ,4
dBWMR14 ,4
 dBWMR15     ,4
 dBWMR16     ,4
 vBWML3      ,4
vBWML2 ,4
 vBWML1      ,4
vBWMR9 ,4
 vBWMR10     ,4
 vBWML23     ,4
 vBWMR5      ,4
vBWMR6 ,4
vBWMR11 ,4
 vBWMR12     ,4
vBWMR13 ,4
 vBWMR14     ,4
vBWMR15 ,4
 vBWMR16     ,4
 vBWMR20     ,4
 sph         ,4
 um2aL       ,4
 um2aR       ,4
 um2pR       ,4
um2aL  ,4
um2pL ,4
 pm1vr       ,0
 pm1d        ,0
 dBWML7      ,4
dBWML5 ,4
 dBWML14     ,4
 dBWML18     ,4
dBWML19 ,4
 dBWML20     ,4
 dBWML24     ,4
 dBWMR4      ,4
 dBWMR24     ,4
 vBWMR13     ,4
 vBWMR23     ,4
 vBWMR24     ,4
vBWMR24 ,4
