,motif_count
AINL,94
AINR,94
CEPshVR,79
CEPshDL,50
CEPshVL,45
ASIR,71
CEPshDR,44
ASJR,78
PVT,149
RIAR,140
RIH,215
BWM-VR04,99
RIMR,189
SMBVR,102
ADER,138
ASIL,101
BDUR,72
DVC,150
AVFR,137
CEPVR,105
URYVR,163
ADLR,87
PVNL,132
RMFL,157
AIBR,216
AVAR,103
AIBL,171
AIYR,157
AUAR,134
URXR,154
AFDR,95
BAGL,160
ASEL,137
RID,71
RIML,172
AVHR,133
CEPVL,151
ASKR,123
AWCR,129
ASGR,77
BAGR,177
ASJL,93
URBL,106
BDUL,113
IL2DL,110
PVQL,124
AWCL,136
RIS,153
RIVR,146
URYVL,141
RIFL,137
ASGL,96
IL2DR,89
SMBDL,135
IL1R,156
BWM-VR01,54
IL2VR,104
GLRVL,45
RMDL,151
RMDR,159
RMDVL,158
RMDVR,153
SMBVL,111
SMDDL,111
SMDDR,158
SMDVL,126
SMDVR,91
RIVL,147
RICR,161
ALNR,76
CEPDR,113
RMFR,197
CEPDL,152
ASHR,174
AIYL,182
AWBR,146
SIADL,58
SIBDL,66
DVA,183
SAAVL,130
SIAVL,68
PVPR,108
URYDL,152
AVBR,147
OLLL,168
AVAL,134
AVDR,86
AVEL,185
AVER,164
SIBVL,66
URYDR,128
AVBL,138
AVDL,105
OLLR,145
OLQVR,136
OLQDR,135
SIBDR,80
RICL,124
BWM-VL06,52
ADAR,135
AVKR,176
SAADR,145
AVKL,156
SAADL,117
SAAVR,96
HSNL,200
HSNR,144
URAVR,109
URBR,74
AVHL,142
AWAR,120
RMGR,148
RMHL,127
RMHR,136
ADAL,170
ADFL,172
URXL,167
AWAL,115
AVFL,129
PVPL,158
PLNL,78
FLPR,94
FLPL,142
AVJL,99
PVCR,97
PVCL,125
AVJR,135
IL1L,157
GLRL,51
GLRDR,45
GLRVR,31
RMEV,103
URAVL,100
IL2L,140
OLQVL,143
URADR,101
IL1DL,127
BWM-DL02,46
BWM-DL03,56
SMBDR,124
URADL,79
BWM-DL01,70
BWM-DR01,70
BWM-DR03,35
ALA,53
AVL,91
PVQR,95
ASKL,130
AFDL,103
AUAL,126
AIML,105
ALML,102
ADLL,117
BWM-DR02,77
BWM-VR02,69
ADFR,144
RIAL,183
SIADR,57
IL2VL,107
SIBVR,73
OLQDL,142
BWM-VL04,87
BWM-DL04,53
BWM-DL06,57
RIFR,133
BWM-DR04,88
BWM-DR06,61
PVR,102
ALMR,95
SIAVR,53
PVNR,90
AWBL,192
IL2R,122
GLRR,74
GLRDL,45
BWM-VR08,25
BWM-VR05,55
BWM-VR06,28
BWM-VR07,26
AVM,70
BWM-DR08,26
BWM-VL05,55
BWM-VL02,59
BWM-VL03,72
BWM-VL07,32
BWM-VL08,28
BWM-DL05,62
BWM-DR05,67
BWM-DL08,35
BWM-DL07,50
excgl,7
I1L ,6
 I3            ,6
 I5            ,6
 I6            ,5
 M2L           ,5
 M3L           ,3
 M3R           ,6
 MCR           ,5
 MI            ,6
 NSML          ,6
 pm1vl         ,2
 pm4vl         ,5
I5 ,6
I6 ,6
M1 ,6
 I2L         ,5
 M3L         ,5
 NSML        ,4
 pm4vl       ,5
 RIPL        ,5
I1R ,6
M2L ,6
MI ,6
I2L ,6
I3 ,6
I4 ,6
M2R ,6
M4 ,6
NSML ,3
M3L ,5
ADFL ,6
IL1L ,5
RIPL ,6
RIPR ,6
RMED ,4
URAVL ,6
pm4d ,6
pm3vl ,5
mc1dl ,5
mc1v ,5
 I2R           ,5
 M1            ,6
 M2R           ,4
 NSMR          ,5
 pm5vr         ,5
 I4            ,5
 pm5d          ,5
 pm5vl         ,6
 M4            ,6
 NSMR        ,5
 I1R         ,6
 M1          ,4
 M2R         ,6
 M2L         ,5
 M5          ,5
 M4          ,5
 pm2d          ,3
 I2R         ,6
 I3          ,5
 pm5d        ,6
 M3R         ,6
 pm3vr       ,5
 pm4vr       ,5
 RIPR        ,5
 pm5vl       ,4
 I5          ,3
 MCL         ,2
 pm4d        ,5
 I1L         ,5
 I4          ,6
 MI          ,4
 pm5vr       ,6
 I6          ,2
M5 ,6
pm3vr ,6
pm5vr ,4
mc1dr ,5
 pm6d          ,2
 pm6vr         ,2
 pm7vr         ,2
 pm6vr       ,4
MCL ,4
pm4vl ,6
pm3d ,3
pm6d ,5
mc2dl ,5
mc2dr ,6
pm6vl ,5
pm6vr ,6
mc3dr ,5
mc3v ,6
 mc2v          ,3
 mc2dr         ,3
 AWBL          ,6
 ADLL          ,6
 AWCR          ,6
 URXL          ,6
 AUAL          ,6
 AIAL          ,3
 AIBL          ,6
 AIBR          ,3
 ADAL          ,6
 RIAL          ,6
 RIBL          ,5
 RIGL          ,6
 RIR           ,5
 RIVL          ,5
 SMBDL         ,6
 SMBVL         ,3
ASER ,6
ASHL ,6
SDQR ,6
AIAL ,6
ADAL ,4
RIGL ,6
RMGL ,6
HSNL ,6
 ASHL        ,5
 AWCL        ,3
 AFDL        ,6
 AIZL        ,6
 ADAL        ,5
 RIAL        ,4
 URBL        ,5
ADLL ,6
ASEL ,6
ASHR ,6
AFDL ,6
AVHR ,6
HSNR ,6
ADFR ,6
ADLR ,6
ASIL ,6
ASIR ,5
AWCL ,6
AIAR ,5
AIBR ,6
AIZL ,6
AIZR ,6
AFDR ,6
CEPDL ,6
AINR ,6
IL2L ,6
CEPVL ,6
URXL ,6
URYVL ,6
AQR ,6
AUAL ,6
AIML ,6
RIAL ,6
RIR ,6
URBL ,6
DVA ,6
PVNR ,6
IL2DL ,6
RIBL ,6
ASGL ,6
ASKL ,6
ASKR ,6
AWBL ,6
AWCR ,6
AVFR ,6
PVQL ,6
PVQR ,6
FLPL ,6
BAGL ,6
AIBL ,6
ADAR ,6
RIBR ,6
RICR ,6
RIGR ,6
DVC ,6
PVT ,6
RIML ,6
RIMR ,6
SAADL ,6
SAADR ,6
SAAVL ,6
ASGR ,6
SDQL ,6
AVBR ,6
RMHR ,6
SAAVR ,6
SMDVR ,6
VB01 ,5
URYDL ,6
RIFR ,6
RIH ,6
SMBDL ,6
FLPR ,6
BDUL ,6
ADEL ,6
RICL ,6
PVPL ,6
IL2VL ,6
CEPVR ,6
BAGR ,6
RIAR ,6
AVAL ,6
RMDDL ,6
RMDL ,6
RMDR ,6
RIVL ,6
RIVR ,3
SMDDL ,6
SMDDR ,6
SMDVL ,6
OLLL ,6
AINL ,6
RIS ,6
ADER ,6
AVKR ,6
AVAR ,6
AWAR ,6
URXR ,6
RMGR ,6
PVPR ,6
SABVL ,6
AWBR ,6
AVHL ,6
AVKL ,6
SMBDR ,6
CEPDR ,6
ALNR ,6
URBR ,6
SIADL ,6
SMBVL ,6
PLNL ,6
PLNR ,6
AVFL ,6
SIAVL ,6
SIBDL ,6
OLLR ,6
URYVR ,6
RMEV ,6
SIAVR ,5
SIBVL ,6
OLQDL ,6
OLQVL ,6
AVDR ,6
AVEL ,6
 ASHR          ,6
 AWAR          ,6
 AWBR          ,6
 AFDR          ,5
 AIYR          ,6
 AIZR          ,6
 RIH           ,6
 ASEL          ,6
 ASER          ,5
 ASGL          ,5
 ASHL          ,5
 AWCL          ,5
 OLQVL         ,5
 RIPL          ,5
 AVJR          ,6
 AVAL          ,5
 AVAR          ,6
 AVBL          ,6
 AVDL          ,5
 AVDR          ,6
 ADLR          ,6
 AIAR          ,6
 RICL          ,6
 RICR          ,6
 AVBR          ,6
 AIYL          ,6
 ASGR        ,6
 AWBR        ,6
 AFDR        ,5
 PVQR        ,6
 ADFL          ,5
 AVFL          ,6
 AVHR          ,5
 RIML          ,6
 HSNL          ,5
 RMGL        ,6
 ADFL        ,6
 ASHR        ,6
 ASKL        ,6
 RICL        ,3
 AVER          ,5
 HSNR          ,6
 ASJR          ,6
 ASKR          ,6
 CEPDL         ,6
 PVQL          ,6
 AIML          ,6
 AIMR          ,3
 RMDVL         ,6
 SIBDL         ,5
 RMGL          ,6
 RMDR          ,3
 URAVL         ,5
 dBWML4        ,6
 dBWML5        ,5
 AVEL          ,6
 RMHL          ,6
 BAGR          ,6
 RMHR          ,6
 SIBDR         ,6
 SIBVR         ,3
 SMDDL         ,6
 SMDDR         ,6
 SMDVR         ,6
 ALML          ,6
 SIAVL         ,5
 vBWML5        ,5
 SDQL          ,5
 RID           ,5
 DVA           ,6
 SAADL         ,5
 vBWMR7        ,5
 RIVL        ,5
 AIBL        ,6
 ALMR        ,5
 DVA         ,6
 SDQL        ,6
 AVBL        ,6
 RIVR        ,5
 SAADL       ,5
 SIAVR       ,6
 SIBDL       ,5
 PVPL          ,6
 hyp           ,5
 RIVR          ,6
 AIAR        ,6
 AWCR        ,5
 AWBL        ,5
 ASIR        ,4
 ASJL        ,4
 ASIL        ,4
 ADAR        ,6
 AVDR        ,6
 PVQL        ,6
 OLQVL       ,6
 AVFR          ,6
 AIBR        ,6
 OLLL        ,3
 RIBL        ,6
 RIGR        ,5
 OLQDL       ,5
 AVKL        ,6
 BAGL        ,5
 PVPL        ,6
 URYDL       ,4
 URYVL       ,3
 RMFL        ,5
 VD01        ,5
 ADLL        ,6
 IL2L        ,6
 AVEL        ,6
 URXL        ,4
 RMDDR       ,6
 ALML        ,6
 AVFR        ,6
 RMHL        ,4
 vBWML11       ,6
 vBWML16       ,6
 vBWML15       ,3
 vBWMR11       ,5
 VC05          ,5
 vm2aL         ,5
 vm2pR         ,5
 HSNR        ,5
 ADFR          ,3
 ADAR          ,3
 RIAR          ,6
 AVHL          ,6
 PVPR          ,6
 SMBVR         ,5
 AWAL          ,5
 ADLR        ,6
 AWAL        ,5
 hyp         ,6
 RIFR          ,5
 PVCL          ,6
 IL2R          ,3
 ASGL        ,6
 AINR          ,5
 ASKR        ,6
 AIZR        ,5
 RICR        ,4
 RMGR        ,5
 AVHL        ,6
 AVAR        ,6
 AVER        ,6
 PVQR          ,6
 ASEL        ,5
 AIYL        ,5
 BDUR          ,5
 PVNR          ,3
 vBWMR10       ,6
 AQR           ,6
 PVT           ,6
 RIMR          ,6
 VA06          ,3
 SABD          ,5
 vBWMR9        ,5
 PHBL        ,6
 PHAR        ,4
 PHBR        ,6
 PVNL        ,6
 AVG         ,6
 DVC         ,6
 PVPR        ,6
 AVJL        ,6
 AVJR        ,6
 PVNR        ,6
 PVT         ,6
 DA08        ,6
 SIAVL       ,6
 AS11        ,6
 VA11        ,6
 VD12        ,6
 AVFL        ,6
 AVL         ,6
 DD06        ,5
 SABVR         ,6
 VC02          ,6
 DA05          ,5
 DA06          ,5
 AS05          ,5
 VC03          ,6
 vBWMR15       ,6
 vBWMR16       ,6
 ALA         ,5
 BDUR        ,4
 OLQVR         ,6
 BAGL          ,6
 URXR          ,6
 URYVR         ,6
 AUAR          ,6
 SMBDR         ,6
 RIH         ,5
 SMBVR       ,6
 SMDVR       ,5
 CEPVR         ,6
 URBR          ,5
 RIPR          ,5
 SIBVL         ,6
 RMFL          ,6
 SAAVL         ,5
 AINR        ,6
 AIAL        ,5
 ASGR          ,5
 AIYR        ,5
 ASIL          ,6
 AUAL        ,6
 ASIR          ,5
 URYDL         ,3
 vBWML7        ,5
 SAAVR         ,5
 SAADR         ,6
 VB01          ,6
 ADFR        ,6
 RIGL        ,6
 SMDDL       ,6
 RIS         ,6
 RIML        ,6
 VB02          ,3
 SIBVL       ,5
 ASER        ,5
 URBR        ,6
 RMDVR       ,6
 URADL         ,5
 OLLL          ,6
 OLQDL         ,5
 CEPDR         ,5
 RIS           ,5
 AINL          ,6
 AINL        ,4
 ADER        ,6
 IL2L          ,4
 PVR           ,5
 RMDDL         ,6
 RMDVR         ,3
 RMER          ,6
 IL1L          ,6
 IL1VL         ,5
 URYVL         ,5
 AVL           ,6
 RMEV          ,6
 ADEL          ,4
 RMER        ,6
 RMDL        ,5
 URAVL       ,6
 CEPVL         ,6
 RIBR          ,3
 SIAVR         ,6
 BDUL          ,5
 PVCR          ,5
 VA02          ,6
 PVDR          ,3
 VA12          ,6
 AVKR        ,6
 DB07          ,6
 AUAR        ,6
 RMDVL       ,5
 SIBVR       ,6
 SMDVL       ,6
 BAGR        ,3
 IL1L        ,6
 VA11          ,6
 PVWL          ,3
 PDER          ,5
 DA02          ,6
 DB02          ,6
 DB03          ,6
 VA08          ,4
 VB11          ,5
 PVR         ,6
 SDQR        ,6
 PVM         ,6
 PDEL        ,6
 PDER        ,5
 PVCL        ,6
 PVCR        ,6
 SIADR       ,6
 DA09        ,6
 SAAVR       ,6
 AVBR        ,6
 DB07        ,5
 DB01        ,6
 DB06        ,6
 VD13          ,6
 PQR           ,4
 PVWR          ,5
 DD02          ,6
 VD04          ,6
 VD06          ,5
 VD07          ,6
 AVHR        ,6
 AVDL        ,6
 LUAR        ,6
 PQR         ,6
 PVWR        ,6
 VD13        ,6
 VC06        ,6
 RMEL          ,6
 RMED          ,6
 DVC           ,6
 RMEV        ,5
 RIBR        ,6
 SIADL       ,5
 AIML        ,3
 DD01          ,5
 AVG           ,5
 PVDL          ,6
 DA08          ,5
 vBWML12       ,6
 vBWMR14       ,6
 VB01        ,5
 VD01          ,5
 DD06          ,6
 LUAL        ,6
 PHAL        ,6
 ASJR        ,5
 DA07        ,5
 dBWML3        ,5
 dBWML6        ,6
 URYDR         ,5
 dBWMR3        ,6
 vBWML4        ,6
 dBWMR4        ,6
 dBWMR5        ,4
 vBWMR4        ,6
 URAVR         ,6
 ADER          ,5
 vBWMR3        ,5
 AVKL          ,3
 FLPR          ,5
 VA01          ,5
 FLPR        ,6
 DD01        ,6
 FLPL          ,6
 dBWMR6        ,6
 RIR         ,4
 ALNR          ,6
 RMED        ,6
 SMDDR       ,6
