Neuron,total_3node_motifs,as_source,as_target
DB07 ,528,0,0
AS01 ,105,0,0
AS02 ,78,0,0
AS03 ,21,0,0
AS04 ,66,0,0
AS05 ,21,0,0
AS06 ,55,0,0
AS07 ,10,0,0
AS08 ,10,0,0
AS09 ,10,0,0
AS10 ,120,0,0
AS11 ,210,0,0
PDB ,105,0,0
DD01 ,190,0,0
DD02 ,91,0,0
DD03 ,91,0,0
DD04 ,55,0,0
DD05 ,36,0,0
DD06 ,231,0,0
VA01 ,45,0,0
VA02 ,231,0,0
VA03 ,210,0,0
VA04 ,136,0,0
VA05 ,66,0,0
VA06 ,210,0,0
VA07 ,136,0,0
VA08 ,171,0,0
 vBWML17       ,15,0,0
 vBWML18       ,21,0,0
 vBWMR17       ,10,0,0
 vBWMR18       ,21,0,0
VA09 ,153,0,0
 VB07          ,3,0,0
 VB08          ,3,0,0
 vBWML19       ,28,0,0
 vBWMR19       ,15,0,0
VA10 ,276,0,0
 VB09          ,1,0,0
 vBWML20       ,28,0,0
 vBWMR21       ,28,0,0
VA11 ,435,0,0
 VB10          ,1,0,0
 vBWML21       ,28,0,0
 vBWMR22       ,21,0,0
 vBWMR23       ,10,0,0
VA12 ,666,0,0
 vBWML22       ,10,0,0
 vBWML23       ,3,0,0
 vBWMR24       ,1,0,0
VB01 ,171,0,0
VB02 ,190,0,0
VB03 ,153,0,0
VB04 ,190,0,0
VB05 ,91,0,0
VB06 ,120,0,0
VB07 ,105,0,0
VB08 ,105,0,0
VB09 ,120,0,0
VB10 ,253,0,0
VB11 ,276,0,0
VD01 ,66,0,0
VD02 ,153,0,0
VD03 ,78,0,0
VD04 ,45,0,0
VD05 ,91,0,0
VD06 ,78,0,0
VD07 ,55,0,0
VD08 ,55,0,0
VD09 ,66,0,0
VD10 ,45,0,0
VD11 ,253,0,0
VD12 ,325,0,0
VD13 ,378,0,0
HSNL ,703,0,0
 VC05          ,6,0,0
 vm2aL         ,6,0,0
 vm2aR         ,6,0,0
 vm2pL         ,6,0,0
 vm2pR         ,6,0,0
HSNR ,1176,0,0
 VC04          ,1,0,0
VC01 ,276,0,0
VC02 ,435,0,0
VC03 ,780,0,0
VC04 ,66,0,0
VC05 ,153,0,0
VC06 ,105,0,0
 I2L         ,3,0,0
 M3L         ,10,0,0
 MCR         ,6,0,0
 NSML        ,1,0,0
 pm4vl       ,15,0,0
 RIPL        ,21,0,0
 I2R         ,10,0,0
 I3          ,10,0,0
 NSMR        ,15,0,0
 pm3vr       ,6,0,0
 pm4vr       ,15,0,0
 RIPR        ,3,0,0
 I1L         ,15,0,0
 I4          ,6,0,0
 M2L         ,15,0,0
 I1R         ,21,0,0
 M1          ,3,0,0
 M2R         ,21,0,0
 MI          ,3,0,0
 pm4d        ,21,0,0
 pm5d        ,55,0,0
 M4          ,28,0,0
 pm5vl       ,36,0,0
 M5          ,10,0,0
 I5          ,3,0,0
 MCL         ,0,0,0
 M3R         ,10,0,0
 pm5vr       ,15,0,0
 I6          ,0,0,0
 pm6vr       ,6,0,0
pm1d ,0,0,0
 pm2d        ,1,0,0
pm1vl ,0,0,0
 pm2vl       ,1,0,0
pm1vr ,0,0,0
 pm2vr       ,1,0,0
pm2d ,1,0,0
 pm1d        ,0,0,0
 pm3d        ,6,0,0
pm2vl ,1,0,0
 pm1vl       ,0,0,0
 pm3vl       ,6,0,0
pm2vr ,1,0,0
 pm1vr       ,0,0,0
pm3d ,6,0,0
 mc1dl       ,10,0,0
 mc1dr       ,6,0,0
pm3vl ,6,0,0
 mc1v        ,6,0,0
pm3vr ,6,0,0
pm4d ,21,0,0
pm4vl ,15,0,0
pm4vr ,15,0,0
pm5d ,55,0,0
 pm6d        ,3,0,0
 mc2dl       ,6,0,0
 mc2dr       ,6,0,0
pm5vl ,36,0,0
 pm6vl       ,3,0,0
 mc2v        ,1,0,0
pm5vr ,15,0,0
pm6d ,3,0,0
 mc3dl       ,15,0,0
 mc3dr       ,15,0,0
pm6vl ,3,0,0
 mc3v        ,10,0,0
pm6vr ,6,0,0
pm7d ,3,0,0
 pm8         ,15,0,0
pm7vl ,3,0,0
pm7vr ,3,0,0
pm8 ,15,0,0
 pm7d        ,3,0,0
 pm7vl       ,3,0,0
 pm7vr       ,3,0,0
mc1dl ,10,0,0
mc1dr ,6,0,0
mc1v ,6,0,0
mc2dl ,6,0,0
mc2dr ,6,0,0
mc2v ,1,0,0
mc3dl ,15,0,0
mc3dr ,15,0,0
mc3v ,10,0,0
 ASHL        ,15,0,0
 AWCL        ,3,0,0
 AFDL        ,21,0,0
 AIZL        ,28,0,0
 ADAL        ,10,0,0
 RIAL        ,6,0,0
 URBL        ,10,0,0
 ASGR        ,28,0,0
 AWAR        ,6,0,0
 AWBR        ,15,0,0
 AFDR        ,28,0,0
 AIAR        ,36,0,0
 ADAR        ,10,0,0
 RIH         ,10,0,0
 SMBVR       ,28,0,0
 SMDVR       ,10,0,0
 ADLR        ,3,0,0
 AWAL        ,3,0,0
 RMGL        ,45,0,0
 AVDR        ,91,0,0
 hyp         ,1540,0,0
 ADLL        ,10,0,0
 ASKR        ,55,0,0
 ASGL        ,15,0,0
 AWCR        ,10,0,0
 PVQR        ,120,0,0
 ASEL        ,10,0,0
 AWBL        ,10,0,0
 AIML        ,1,0,0
 AINR        ,21,0,0
 RIVL        ,21,0,0
 ADFR        ,36,0,0
 ASER        ,6,0,0
 ASIR        ,6,0,0
 AIZR        ,15,0,0
 AINL        ,6,0,0
 ADFL        ,28,0,0
 ASHR        ,55,0,0
 ASKL        ,21,0,0
 RICL        ,3,0,0
 RICR        ,6,0,0
 RMGR        ,55,0,0
 AVHL        ,231,0,0
 AVAR        ,1128,0,0
 AVER        ,120,0,0
 AIAL        ,28,0,0
 AIYR        ,6,0,0
 ASJR        ,3,0,0
 IL2L        ,28,0,0
 ALA         ,15,0,0
 PVQL        ,78,0,0
 ASJL        ,15,0,0
 AIMR        ,6,0,0
 AIBL        ,78,0,0
 HSNL        ,6,0,0
 AIBR        ,66,0,0
 AVHR        ,325,0,0
 HSNR        ,15,0,0
 AUAL        ,10,0,0
 AUAR        ,10,0,0
 AIYL        ,6,0,0
 AVEL        ,91,0,0
 URBR        ,10,0,0
 RMDVR       ,66,0,0
 IL1DR       ,6,0,0
 IL1L        ,10,0,0
 RMEV        ,55,0,0
 IL1DL       ,3,0,0
 IL1R        ,1,0,0
 IL1VL       ,6,0,0
 RMER        ,6,0,0
 IL1VR       ,6,0,0
 RMDDL       ,28,0,0
 RMED        ,15,0,0
 IL2VR       ,1,0,0
 URAVR       ,0,0,0
 URADL       ,0,0,0
 URADR       ,1,0,0
 OLLL        ,3,0,0
 URXL        ,1,0,0
 RMDL        ,36,0,0
 URAVL       ,10,0,0
 URXR        ,6,0,0
 CEPVR       ,3,0,0
 CEPDL       ,0,0,0
 RIBL        ,105,0,0
 RIGL        ,105,0,0
 RMDVL       ,28,0,0
 CEPDR       ,0,0,0
 RIBR        ,91,0,0
 RIGR        ,91,0,0
 CEPVL       ,3,0,0
 OLLR        ,1,0,0
 OLQDL       ,10,0,0
 OLQDR       ,15,0,0
 OLQVL       ,10,0,0
 OLQVR       ,10,0,0
 AVM         ,6,0,0
 BDUL        ,1,0,0
 PVR         ,231,0,0
 RMDDR       ,28,0,0
 SMBDR       ,36,0,0
 BDUR        ,3,0,0
 SDQR        ,45,0,0
 ALML        ,15,0,0
 ALMR        ,10,0,0
 AVDL        ,105,0,0
 PVM         ,15,0,0
 PDEL        ,55,0,0
 PDER        ,78,0,0
 AVKL        ,210,0,0
 DVA         ,325,0,0
 DB03        ,28,0,0
 VD09        ,10,0,0
PLML ,21,0,0
 PLNL        ,21,0,0
 PHCL        ,28,0,0
 PVCL        ,253,0,0
 LUAL        ,21,0,0
PLMR ,21,0,0
 PLNR        ,6,0,0
 PVCR        ,406,0,0
 LUAR        ,66,0,0
 SMDDR       ,45,0,0
 SMDVL       ,28,0,0
 ADER        ,15,0,0
 SMDDL       ,55,0,0
 PLML        ,21,0,0
 PHAL        ,28,0,0
 PHBL        ,45,0,0
 PVWL        ,66,0,0
 VA02        ,21,0,0
 PLMR        ,21,0,0
 PHAR        ,36,0,0
 PHBR        ,66,0,0
 FLPR        ,28,0,0
 SDQL        ,6,0,0
 SIADR       ,28,0,0
 DD01        ,36,0,0
 FLPL        ,21,0,0
 DA01        ,10,0,0
 DA02        ,36,0,0
 DA03        ,28,0,0
 AS01        ,15,0,0
 PVNL        ,136,0,0
 AVBL        ,406,0,0
 RIVR        ,10,0,0
 SAADL       ,6,0,0
 SIAVR       ,15,0,0
 SIBDL       ,10,0,0
 PVDR        ,15,0,0
 AVG         ,153,0,0
 VA10        ,28,0,0
 PVDL        ,10,0,0
 DVC         ,171,0,0
 AVAL        ,990,0,0
 BAGR        ,3,0,0
 RIR         ,1,0,0
 BAGL        ,10,0,0
 IL2R        ,3,0,0
 AVKR        ,105,0,0
 PVPL        ,496,0,0
 PVPR        ,325,0,0
 AVJL        ,136,0,0
 AVJR        ,190,0,0
 PVNR        ,231,0,0
 ALNR        ,6,0,0
 VB10        ,66,0,0
 VB11        ,55,0,0
 VD06        ,3,0,0
 VB09        ,10,0,0
 PQR         ,66,0,0
 PHCR        ,45,0,0
 PVT         ,435,0,0
 PVWR        ,105,0,0
 DA08        ,120,0,0
 VA12        ,78,0,0
 DA09        ,120,0,0
 ASIL        ,1,0,0
 RIS         ,55,0,0
 RIMR        ,36,0,0
 RIML        ,36,0,0
 SIAVL       ,21,0,0
 SIBVL       ,78,0,0
 SIBVR       ,36,0,0
 ADEL        ,1,0,0
 RID         ,15,0,0
 SAAVR       ,36,0,0
 AVBR        ,465,0,0
 SIADL       ,15,0,0
 SIBDR       ,10,0,0
 RMHR        ,1,0,0
 URYDL       ,1,0,0
 URYVL       ,0,0,0
 RMFL        ,10,0,0
 RMEL        ,1,0,0
 VD01        ,15,0,0
 URYDR       ,3,0,0
 AQR         ,15,0,0
 RMDR        ,6,0,0
 SAADR       ,3,0,0
 AVFR        ,45,0,0
 RMHL        ,6,0,0
 RIFR        ,6,0,0
 AS11        ,91,0,0
 VA11        ,105,0,0
 VD12        ,120,0,0
 VC05        ,3,0,0
 AVFL        ,91,0,0
 VB01        ,3,0,0
 AVL         ,153,0,0
 DD06        ,120,0,0
 DVB         ,91,0,0
 DB07        ,66,0,0
 AS10        ,45,0,0
 PDB         ,28,0,0
 SMBDL       ,28,0,0
 SMBVL       ,3,0,0
 PDA         ,28,0,0
 VD11        ,66,0,0
 VD13        ,105,0,0
 VC06        ,21,0,0
 DB01        ,10,0,0
 DB06        ,10,0,0
 DD05        ,3,0,0
 VC01        ,6,0,0
 DA07        ,21,0,0
 VC03        ,28,0,0
 DA04        ,10,0,0
 URYVR       ,0,0,0
 SABD        ,6,0,0
 SABVR       ,3,0,0
 DA05        ,10,0,0
 DA06        ,1,0,0
 VA01        ,3,0,0
 VA03        ,21,0,0
 VA04        ,10,0,0
 VA05        ,1,0,0
 VA06        ,10,0,0
 VA07        ,3,0,0
 VA08        ,1,0,0
 VA09        ,1,0,0
 SABVL       ,0,0,0
 AS03        ,0,0,0
 AS05        ,1,0,0
 AS06        ,6,0,0
 DB02        ,10,0,0
 DB04        ,10,0,0
 DB05        ,6,0,0
 VB02        ,10,0,0
 VB04        ,15,0,0
 VB05        ,6,0,0
 VB06        ,10,0,0
 VB07        ,6,0,0
 VB08        ,6,0,0
 VB03        ,10,0,0
 RIFL        ,3,0,0
 RIAR        ,21,0,0
 SAAVL       ,15,0,0
 IL2DR       ,1,0,0
 IL2DL       ,0,0,0
 IL2VL       ,0,0,0
 ALNL        ,6,0,0
 AS02        ,3,0,0
 AS04        ,1,0,0
 DD03        ,6,0,0
 VD02        ,21,0,0
 DD02        ,10,0,0
 VD03        ,10,0,0
 vBWML8      ,3,0,0
 VD04        ,3,0,0
 VD05        ,3,0,0
 DD04        ,1,0,0
 VC02        ,6,0,0
 dBWML9      ,3,0,0
 VD07        ,1,0,0
 VD08        ,1,0,0
 VD10        ,1,0,0
dBWML1 ,1,0,0
 dBWML2      ,1,0,0
 dBWML3      ,3,0,0
dBWML2 ,1,0,0
 dBWML1      ,1,0,0
dBWML3 ,3,0,0
 dBWML4      ,1,0,0
dBWML4 ,1,0,0
 dBWML5      ,1,0,0
dBWML5 ,1,0,0
 dBWML6      ,1,0,0
dBWML6 ,1,0,0
 dBWML7      ,1,0,0
dBWML7 ,1,0,0
 dBWML8      ,1,0,0
dBWML8 ,1,0,0
dBWML9 ,3,0,0
 dBWML10     ,1,0,0
dBWML10 ,1,0,0
 dBWML11     ,1,0,0
dBWML11 ,1,0,0
 dBWML12     ,1,0,0
dBWML12 ,1,0,0
 dBWML13     ,1,0,0
dBWML13 ,1,0,0
 dBWML14     ,1,0,0
dBWML14 ,1,0,0
 dBWML15     ,1,0,0
dBWML15 ,1,0,0
 dBWML16     ,1,0,0
dBWML16 ,1,0,0
 dBWML17     ,1,0,0
dBWML17 ,1,0,0
 dBWML18     ,1,0,0
dBWML18 ,1,0,0
 dBWML19     ,1,0,0
dBWML19 ,1,0,0
 dBWML20     ,1,0,0
dBWML20 ,1,0,0
 dBWML21     ,1,0,0
dBWML21 ,1,0,0
 dBWML22     ,1,0,0
dBWML22 ,1,0,0
 dBWML23     ,1,0,0
dBWML23 ,1,0,0
 dBWML24     ,0,0,0
dBWML24 ,0,0,0
dBWMR1 ,1,0,0
 dBWMR2      ,1,0,0
 dBWMR3      ,3,0,0
dBWMR2 ,1,0,0
 dBWMR1      ,1,0,0
dBWMR3 ,3,0,0
 dBWMR4      ,1,0,0
dBWMR4 ,1,0,0
 dBWMR5      ,1,0,0
dBWMR5 ,1,0,0
 dBWMR6      ,1,0,0
dBWMR6 ,1,0,0
 dBWMR7      ,1,0,0
dBWMR7 ,1,0,0
 dBWMR8      ,1,0,0
dBWMR8 ,1,0,0
 dBWMR9      ,1,0,0
dBWMR9 ,1,0,0
 dBWMR10     ,1,0,0
dBWMR10 ,1,0,0
 dBWMR11     ,1,0,0
dBWMR11 ,1,0,0
 dBWMR12     ,1,0,0
dBWMR12 ,1,0,0
 dBWMR13     ,1,0,0
dBWMR13 ,1,0,0
 dBWMR14     ,1,0,0
dBWMR14 ,1,0,0
 dBWMR15     ,1,0,0
dBWMR15 ,1,0,0
 dBWMR16     ,1,0,0
dBWMR16 ,1,0,0
 dBWMR17     ,1,0,0
dBWMR17 ,1,0,0
 dBWMR18     ,1,0,0
dBWMR18 ,1,0,0
 dBWMR19     ,1,0,0
dBWMR19 ,1,0,0
 dBWMR20     ,1,0,0
dBWMR20 ,1,0,0
 dBWMR21     ,1,0,0
dBWMR21 ,1,0,0
 dBWMR22     ,1,0,0
dBWMR22 ,1,0,0
 dBWMR23     ,1,0,0
dBWMR23 ,1,0,0
 dBWMR24     ,0,0,0
dBWMR24 ,0,0,0
vBWML1 ,1,0,0
 vBWML2      ,1,0,0
 vBWML3      ,3,0,0
vBWML2 ,1,0,0
 vBWML1      ,1,0,0
vBWML3 ,3,0,0
 vBWML4      ,1,0,0
vBWML4 ,1,0,0
 vBWML5      ,1,0,0
vBWML5 ,1,0,0
 vBWML6      ,1,0,0
vBWML6 ,1,0,0
 vBWML7      ,1,0,0
vBWML7 ,1,0,0
vBWML8 ,3,0,0
 vBWML9      ,3,0,0
vBWML9 ,3,0,0
 vBWML10     ,1,0,0
 vBWMR8      ,3,0,0
vBWML10 ,1,0,0
 vBWML11     ,1,0,0
vBWML11 ,1,0,0
 vBWML12     ,1,0,0
vBWML12 ,1,0,0
 vBWML13     ,1,0,0
vBWML13 ,1,0,0
 vBWML14     ,1,0,0
vBWML14 ,1,0,0
 vBWML15     ,1,0,0
vBWML15 ,1,0,0
 vBWML16     ,1,0,0
vBWML16 ,1,0,0
 vBWML17     ,1,0,0
vBWML17 ,1,0,0
 vBWML18     ,1,0,0
vBWML18 ,1,0,0
 vBWML19     ,1,0,0
vBWML19 ,1,0,0
 vBWML20     ,1,0,0
vBWML20 ,1,0,0
 vBWML21     ,1,0,0
vBWML21 ,1,0,0
 vBWML22     ,1,0,0
vBWML22 ,1,0,0
 vBWML23     ,0,0,0
vBWML23 ,0,0,0
vBWMR1 ,1,0,0
 vBWMR2      ,1,0,0
 vBWMR3      ,3,0,0
vBWMR2 ,1,0,0
 vBWMR1      ,1,0,0
vBWMR3 ,3,0,0
 vBWMR4      ,1,0,0
vBWMR4 ,1,0,0
 vBWMR5      ,1,0,0
vBWMR5 ,1,0,0
 vBWMR6      ,1,0,0
vBWMR6 ,1,0,0
 vBWMR7      ,1,0,0
vBWMR7 ,1,0,0
vBWMR8 ,6,0,0
 vBWMR9      ,1,0,0
vBWMR9 ,1,0,0
 vBWMR10     ,1,0,0
vBWMR10 ,1,0,0
 vBWMR11     ,1,0,0
vBWMR11 ,1,0,0
 vBWMR12     ,1,0,0
vBWMR12 ,1,0,0
 vBWMR13     ,1,0,0
vBWMR13 ,1,0,0
 vBWMR14     ,1,0,0
vBWMR14 ,1,0,0
 vBWMR15     ,1,0,0
vBWMR15 ,1,0,0
 vBWMR16     ,1,0,0
vBWMR16 ,1,0,0
 vBWMR17     ,1,0,0
vBWMR17 ,1,0,0
 vBWMR18     ,1,0,0
vBWMR18 ,1,0,0
 vBWMR19     ,1,0,0
vBWMR19 ,1,0,0
 vBWMR20     ,1,0,0
vBWMR20 ,1,0,0
 vBWMR21     ,1,0,0
vBWMR21 ,1,0,0
 vBWMR22     ,1,0,0
vBWMR22 ,1,0,0
 vBWMR23     ,1,0,0
vBWMR23 ,1,0,0
 vBWMR24     ,0,0,0
vBWMR24 ,0,0,0
hyp ,1540,0,0
intL ,3,0,0
 intR        ,3,0,0
 sph         ,3,0,0
 anal        ,3,0,0
intR ,3,0,0
 intL        ,3,0,0
sph ,3,0,0
anal ,3,0,0
 VC04        ,1,0,0
 vm2aL       ,6,0,0
 vm2aR       ,6,0,0
 vm2pL       ,6,0,0
 vm2pR       ,6,0,0
um2aL  ,1,0,0
 um2aR       ,1,0,0
 um1aL       ,6,0,0
um2aR ,1,0,0
 um2aL       ,1,0,0
 um1aR       ,6,0,0
um1aL ,6,0,0
 um1pL       ,6,0,0
um1aR ,6,0,0
 um1pR       ,6,0,0
um1pL ,6,0,0
 um2pL       ,1,0,0
um1pR ,6,0,0
 um2pR       ,1,0,0
um2pL ,1,0,0
um2pR ,1,0,0
vm2aL  ,6,0,0
 vm1aL       ,3,0,0
vm2aR ,6,0,0
 vm1aR       ,3,0,0
vm1aL ,3,0,0
 vm1pL       ,3,0,0
vm1aR ,3,0,0
 vm1pR       ,3,0,0
vm1pL ,3,0,0
vm1pR ,3,0,0
vm2pL ,6,0,0
vm2pR ,6,0,0
AVBR,1326,63,225
DB1,0,0,0
AVFR,990,196,129
CEPVR,861,85,46
SDQR,300,77,37
AIZL,1653,346,255
URYVR,528,39,45
ADLR,561,109,60
RICR,1653,210,176
RIFL,741,152,83
RIGL,1830,387,325
AIAL,990,287,308
AIZR,1431,306,220
ALNR,171,25,4
AQR,1035,213,135
ASGL,190,54,79
AVHR,1081,220,125
AWCL,595,151,129
CEPDR,861,106,46
CEPVL,1128,142,129
OLLL,903,156,85
PVNL,595,110,113
RIPL,136,22,51
RIPR,190,2,61
RIS,1378,271,189
RMFL,946,144,129
RMFR,1176,224,177
ASER,946,279,289
ASHL,1326,338,231
CEPDL,1035,185,135
PVR,325,19,12
IL2R,630,113,69
PLNL,66,9,2
SDQL,406,68,44
ADAL,1378,217,127
ADAR,946,135,100
AIBR,2628,287,265
ASKL,378,109,99
AVAL,1176,62,185
AVAR,903,37,158
AVBL,1431,51,221
AVDR,528,11,84
AVJR,528,56,68
AIBL,2485,310,317
ASHR,990,195,142
AVDL,351,7,54
FLPR,231,50,24
AVKR,1176,280,148
PVCR,703,70,97
ADFL,703,198,98
ADFR,496,119,84
AIYL,703,172,134
AUAL,325,74,70
RIAL,1830,203,277
AIYR,528,137,137
AUAR,325,38,63
URXR,703,99,78
ASKR,435,135,109
AWCR,528,134,111
AFDL,136,51,33
AFDR,171,61,61
AWBL,630,182,145
AWBR,630,148,149
RIFR,703,172,133
AVEL,1830,122,253
AVER,1326,58,178
SAADR,496,67,82
SIADL,78,0,15
ASGR,105,34,27
BAGL,435,102,91
BAGR,820,143,165
SIBDL,120,4,10
ALMR,325,61,38
ASEL,406,120,85
AVHL,595,117,58
URXL,903,192,141
DVA,2080,295,178
AVJL,820,78,146
PVCL,741,64,51
AVKL,1128,279,193
PVPL,630,148,71
SAAVL,378,70,56
AWAL,595,198,146
AWAR,406,136,130
OLLR,666,119,50
SIBVR,136,0,12
OLQVR,435,72,45
FLPL,465,102,33
IL2L,496,96,60
OLQVL,300,46,33
OLQDR,325,49,31
OLQDL,351,96,36
SIBVL,105,2,10
SIBDR,171,0,22
SIAVL,78,2,21
SIAVR,36,0,7
RID,171,2,25
PVPR,465,115,66
SIADR,55,0,12
SAADL,231,38,52
SAAVR,190,31,29
ALNL,66,22,3
AVFL,465,112,81
AVM,378,96,97
PVNR,325,89,97
HSNL,903,252,113
HSNR,820,212,129
PLNR,36,9,3
