,003,012,102,021D,021U,021C,111D,111U,030T,030C,201,120D,120U,120C,210,300
PC30,122998,5590,0,36,154,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(0, 2)_(1, 2)_(2, 0)_nan_nan_nan_nan_nan",110121,17682,0,345,630,0,0,0,0,0,0,0,0,0,0,0
PC9,102020,24776,0,1431,551,0,0,0,0,0,0,0,0,0,0,0
"(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 1)_nan_nan_nan_nan",120081,8388,0,204,105,0,0,0,0,0,0,0,0,0,0,0
PC13,111543,16356,0,528,351,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 2)_(2, 1)_nan_nan_nan_nan_nan_nan",125896,2830,0,49,3,0,0,0,0,0,0,0,0,0,0,0
PC36,121029,7504,0,78,167,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 1)_(0, 2)_nan_nan_nan_nan_nan_nan",124393,4318,0,52,15,0,0,0,0,0,0,0,0,0,0,0
PC33,120123,8304,0,105,246,0,0,0,0,0,0,0,0,0,0,0
PC72,121052,7458,0,78,190,0,0,0,0,0,0,0,0,0,0,0
PC18,124948,3714,0,10,106,0,0,0,0,0,0,0,0,0,0,0
PC34,122006,6562,0,55,155,0,0,0,0,0,0,0,0,0,0,0
PC10,107482,19924,0,861,511,0,0,0,0,0,0,0,0,0,0,0
PC99,123450,5192,0,28,108,0,0,0,0,0,0,0,0,0,0,0
"(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 0)_nan_nan_nan_nan",122497,6086,0,150,45,0,0,0,0,0,0,0,0,0,0,0
"(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 0)_(2, 1)_nan_nan_nan",126371,2386,0,20,1,0,0,0,0,0,0,0,0,0,0,0
PC31,121099,7364,0,78,237,0,0,0,0,0,0,0,0,0,0,0
PC16,121552,6964,0,66,196,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 1)_(0, 2)_(2, 1)_nan_nan_nan_nan_nan",124420,4264,0,79,15,0,0,0,0,0,0,0,0,0,0,0
PC7,121043,7476,0,78,181,0,0,0,0,0,0,0,0,0,0,0
"(1, 0)_(1, 2)_(2, 1)_nan_nan_nan_nan_nan_nan",124905,3800,0,63,10,0,0,0,0,0,0,0,0,0,0,0
PC93,121040,7482,0,78,178,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(2, 1)_nan_nan_nan_nan_nan_nan_nan",108350,19200,0,448,780,0,0,0,0,0,0,0,0,0,0,0
PC88,125421,3274,0,6,77,0,0,0,0,0,0,0,0,0,0,0
PC35,126403,2322,0,1,52,0,0,0,0,0,0,0,0,0,0,0
PC89,122427,6226,0,45,80,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(1, 0)_(1, 2)_nan_nan_nan_nan_nan_nan",124925,3760,0,83,10,0,0,0,0,0,0,0,0,0,0,0
PC43,123508,5076,0,28,166,0,0,0,0,0,0,0,0,0,0,0
PC12,121135,7292,0,78,273,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 2)_(2, 1)_(2, 2)_nan_nan_nan_nan_nan",123093,5400,0,249,36,0,0,0,0,0,0,0,0,0,0,0
PC75,125449,3218,0,6,105,0,0,0,0,0,0,0,0,0,0,0
"(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 2)_nan_nan_nan_nan",122993,5600,0,149,36,0,0,0,0,0,0,0,0,0,0,0
PC78,122510,6060,0,45,163,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 1)_(1, 0)_(1, 1)_(1, 2)_(2, 1)_nan_nan_nan",120353,7844,0,476,105,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 2)_(1, 2)_(2, 0)_(2, 1)_(2, 2)_nan_nan_nan",126481,2166,0,130,1,0,0,0,0,0,0,0,0,0,0,0
"(0, 2)_(1, 0)_(1, 1)_nan_nan_nan_nan_nan_nan",120608,7840,0,239,91,0,0,0,0,0,0,0,0,0,0,0
"(1, 0)_(1, 1)_(1, 2)_(2, 1)_(2, 2)_nan_nan_nan_nan",125544,3028,0,200,6,0,0,0,0,0,0,0,0,0,0,0
PC4,111077,16782,0,561,358,0,0,0,0,0,0,0,0,0,0,0
PC1,115310,12870,0,300,298,0,0,0,0,0,0,0,0,0,0,0
PC37,124936,3738,0,10,94,0,0,0,0,0,0,0,0,0,0,0
PC44,125436,3244,0,6,92,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 2)_(1, 2)_(2, 1)_(2, 2)_nan_nan_nan_nan",123973,4652,0,132,21,0,0,0,0,0,0,0,0,0,0,0
PC79,126385,2358,0,1,34,0,0,0,0,0,0,0,0,0,0,0
PC77,124926,3758,0,10,84,0,0,0,0,0,0,0,0,0,0,0
PC76,123479,5134,0,28,137,0,0,0,0,0,0,0,0,0,0,0
PC58,119530,8984,0,120,144,0,0,0,0,0,0,0,0,0,0,0
"(0, 2)_(1, 0)_(1, 1)_(2, 0)_(2, 1)_(2, 2)_nan_nan_nan",126871,1892,0,15,0,0,0,0,0,0,0,0,0,0,0,0
PC98,122486,6108,0,45,139,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 2)_(1, 2)_(2, 1)_nan_nan_nan_nan_nan",126865,1904,0,9,0,0,0,0,0,0,0,0,0,0,0,0
PC29,116716,11576,0,231,255,0,0,0,0,0,0,0,0,0,0,0
"(1, 0)_(1, 1)_(2, 1)_(2, 2)_nan_nan_nan_nan_nan",124483,4138,0,142,15,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 1)_(1, 0)_(1, 1)_(1, 2)_(2, 1)_(2, 2)_nan_nan",119768,8508,0,382,120,0,0,0,0,0,0,0,0,0,0,0
PC32,123037,5512,0,36,193,0,0,0,0,0,0,0,0,0,0,0
PC97,125914,2794,0,3,67,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 1)_(0, 2)_(2, 1)_(2, 2)_nan_nan_nan_nan",116878,11252,0,417,231,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(2, 0)_(2, 2)_nan_nan_nan_nan_nan_nan",124409,4286,0,68,15,0,0,0,0,0,0,0,0,0,0,0
PC11,124948,3714,0,10,106,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 0)_(2, 1)_(2, 2)_nan",117781,10458,0,349,190,0,0,0,0,0,0,0,0,0,0,0
"(1, 0)_(1, 2)_nan_nan_nan_nan_nan_nan_nan",112436,15582,0,295,465,0,0,0,0,0,0,0,0,0,0,0
PC38,123004,5578,0,36,160,0,0,0,0,0,0,0,0,0,0,0
PC56,123455,5182,0,28,113,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(1, 1)_(2, 1)_nan_nan_nan_nan_nan_nan",123447,5198,0,105,28,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 1)_(0, 2)_(2, 0)_(2, 1)_(2, 2)_nan_nan_nan",126002,2618,0,155,3,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(1, 1)_(2, 0)_(2, 1)_nan_nan_nan_nan_nan",126372,2384,0,21,1,0,0,0,0,0,0,0,0,0,0,0
PC87,123987,4624,0,21,146,0,0,0,0,0,0,0,0,0,0,0
PC65,125397,3322,0,6,53,0,0,0,0,0,0,0,0,0,0,0
PC67,124474,4156,0,15,133,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 1)_(0, 2)_(1, 2)_nan_nan_nan_nan_nan",124401,4302,0,60,15,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 0)_(2, 1)_nan_nan",126067,2488,0,220,3,0,0,0,0,0,0,0,0,0,0,0
PC15,120484,8088,0,91,115,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(1, 1)_(1, 2)_nan_nan_nan_nan_nan_nan",123973,4652,0,132,21,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(1, 1)_(1, 2)_(2, 2)_nan_nan_nan_nan_nan",124523,4058,0,182,15,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 1)_nan_nan_nan",124991,3628,0,149,10,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 1)_(0, 2)_(1, 2)_(2, 2)_nan_nan_nan_nan",123498,5096,0,156,28,0,0,0,0,0,0,0,0,0,0,0
PC69,119052,9434,0,136,156,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 1)_(0, 2)_(2, 0)_(2, 1)_nan_nan_nan_nan",124933,3744,0,91,10,0,0,0,0,0,0,0,0,0,0,0
PC70,121045,7472,0,78,183,0,0,0,0,0,0,0,0,0,0,0
"(1, 0)_(1, 2)_(2, 2)_nan_nan_nan_nan_nan_nan",123408,5276,0,66,28,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(1, 0)_(2, 0)_nan_nan_nan_nan_nan_nan",125872,2878,0,25,3,0,0,0,0,0,0,0,0,0,0,0
total_3node_motifs,108610,19186,0,741,241,0,0,0,0,0,0,0,0,0,0,0
PC91,123471,5150,0,28,129,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(1, 2)_(2, 0)_(2, 2)_nan_nan_nan_nan_nan",123958,4682,0,117,21,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(1, 2)_(2, 2)_nan_nan_nan_nan_nan_nan",122457,6166,0,110,45,0,0,0,0,0,0,0,0,0,0,0
PC50,123014,5558,0,36,170,0,0,0,0,0,0,0,0,0,0,0
PC40,125929,2764,0,3,82,0,0,0,0,0,0,0,0,0,0,0
"(0, 2)_(1, 2)_(2, 1)_nan_nan_nan_nan_nan_nan",122506,6068,0,159,45,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(1, 2)_(2, 1)_nan_nan_nan_nan_nan_nan",123972,4654,0,131,21,0,0,0,0,0,0,0,0,0,0,0
PC94,125450,3216,0,6,106,0,0,0,0,0,0,0,0,0,0,0
"(0, 2)_(1, 0)_(1, 2)_(2, 0)_(2, 2)_nan_nan_nan_nan",126871,1892,0,15,0,0,0,0,0,0,0,0,0,0,0,0
"(0, 2)_(1, 0)_(1, 2)_(2, 1)_nan_nan_nan_nan_nan",119074,9390,0,178,136,0,0,0,0,0,0,0,0,0,0,0
"(0, 2)_(1, 1)_(1, 2)_(2, 2)_nan_nan_nan_nan_nan",124996,3618,0,154,10,0,0,0,0,0,0,0,0,0,0,0
"(0, 2)_(1, 1)_(1, 2)_(2, 1)_nan_nan_nan_nan_nan",124946,3718,0,104,10,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 1)_(1, 2)_(2, 1)_nan_nan_nan_nan_nan",126462,2204,0,111,1,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 1)_(1, 2)_nan_nan_nan_nan_nan_nan",125003,3604,0,161,10,0,0,0,0,0,0,0,0,0,0,0
"(0, 2)_(1, 2)_nan_nan_nan_nan_nan_nan_nan",123929,4740,0,88,21,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 1)_(2, 0)_(2, 1)_(2, 2)_nan_nan_nan_nan",126869,1896,0,13,0,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 1)_(2, 0)_(2, 1)_nan_nan_nan_nan_nan",124898,3814,0,56,10,0,0,0,0,0,0,0,0,0,0,0
"(0, 2)_(1, 1)_(1, 2)_(2, 0)_(2, 1)_(2, 2)_nan_nan_nan",117352,10810,0,406,210,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 1)_(2, 1)_(2, 2)_nan_nan_nan_nan_nan",125968,2686,0,121,3,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 1)_(2, 1)_nan_nan_nan_nan_nan_nan",125398,3320,0,54,6,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 1)_(1, 1)_(1, 2)_(2, 0)_(2, 1)_nan_nan_nan",122150,6274,0,299,55,0,0,0,0,0,0,0,0,0,0,0
PC39,123504,5084,0,28,162,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 1)_(1, 1)_(1, 2)_(2, 1)_(2, 2)_nan_nan_nan",121244,7074,0,382,78,0,0,0,0,0,0,0,0,0,0,0
PC24,116703,11602,0,231,242,0,0,0,0,0,0,0,0,0,0,0
PC82,123442,5208,0,28,100,0,0,0,0,0,0,0,0,0,0,0
"(0, 2)_(1, 2)_(2, 0)_nan_nan_nan_nan_nan_nan",124523,4058,0,182,15,0,0,0,0,0,0,0,0,0,0,0
"(0, 2)_(1, 2)_(2, 0)_(2, 2)_nan_nan_nan_nan_nan",122951,5684,0,107,36,0,0,0,0,0,0,0,0,0,0,0
PC81,125908,2806,0,3,61,0,0,0,0,0,0,0,0,0,0,0
"(0, 2)_(1, 2)_(2, 0)_(2, 1)_nan_nan_nan_nan_nan",125408,3300,0,64,6,0,0,0,0,0,0,0,0,0,0,0
PC52,124953,3704,0,10,111,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 1)_(1, 2)_(2, 0)_(2, 1)_nan_nan_nan_nan",115770,12456,0,276,276,0,0,0,0,0,0,0,0,0,0,0
PC49,123522,5048,0,28,180,0,0,0,0,0,0,0,0,0,0,0
"(0, 2)_(1, 1)_(2, 1)_nan_nan_nan_nan_nan_nan",125363,3390,0,19,6,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 0)_(2, 1)_nan_nan",113380,14706,0,286,406,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 1)_(1, 0)_(1, 1)_(1, 2)_(2, 2)_nan_nan_nan",121804,6460,0,448,66,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 2)_(1, 0)_(1, 1)_(2, 0)_nan_nan_nan_nan",123614,4864,0,272,28,0,0,0,0,0,0,0,0,0,0,0
PC6,124428,4248,0,15,87,0,0,0,0,0,0,0,0,0,0,0
"(0, 2)_(2, 1)_nan_nan_nan_nan_nan_nan_nan",124884,3842,0,42,10,0,0,0,0,0,0,0,0,0,0,0
"(0, 2)_(1, 0)_(1, 2)_nan_nan_nan_nan_nan_nan",118152,10222,0,233,171,0,0,0,0,0,0,0,0,0,0,0
"(0, 2)_(1, 0)_(1, 2)_(2, 2)_nan_nan_nan_nan_nan",120521,8014,0,152,91,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 2)_(1, 1)_(1, 2)_(2, 0)_(2, 1)_(2, 2)_nan_nan",126473,2182,0,122,1,0,0,0,0,0,0,0,0,0,0,0
PC57,124918,3774,0,10,76,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 2)_(1, 1)_(1, 2)_(2, 0)_(2, 2)_nan_nan_nan",126481,2166,0,130,1,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 1)_(1, 0)_(1, 2)_(2, 0)_(2, 2)_nan_nan_nan",125005,3600,0,163,10,0,0,0,0,0,0,0,0,0,0,0
"(0, 2)_(2, 0)_(2, 1)_nan_nan_nan_nan_nan_nan",122962,5662,0,118,36,0,0,0,0,0,0,0,0,0,0,0
"(0, 2)_(1, 0)_(2, 0)_nan_nan_nan_nan_nan_nan",119211,9116,0,315,136,0,0,0,0,0,0,0,0,0,0,0
"(0, 2)_(1, 0)_(2, 0)_(2, 1)_nan_nan_nan_nan_nan",120510,8036,0,141,91,0,0,0,0,0,0,0,0,0,0,0
PC73,125463,3190,0,6,119,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 0)_nan_nan_nan",120187,8176,0,310,105,0,0,0,0,0,0,0,0,0,0,0
PC86,122965,5656,0,36,121,0,0,0,0,0,0,0,0,0,0,0
"(0, 2)_(2, 1)_(2, 2)_nan_nan_nan_nan_nan_nan",126448,2232,0,97,1,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(1, 0)_(1, 2)_(2, 0)_(2, 1)_(2, 2)_nan_nan_nan",121595,6878,0,239,66,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(0, 2)_(1, 1)_(1, 2)_(2, 0)_(2, 1)_nan_nan_nan",111957,16034,0,291,496,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(1, 0)_(1, 1)_(2, 1)_nan_nan_nan_nan_nan",125928,2766,0,81,3,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(1, 0)_(1, 1)_(2, 0)_(2, 2)_nan_nan_nan_nan",125941,2740,0,94,3,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(0, 2)_(1, 1)_(1, 2)_(2, 0)_nan_nan_nan_nan",108279,19342,0,377,780,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(1, 0)_(1, 1)_(1, 2)_(2, 2)_nan_nan_nan_nan",125570,2976,0,226,6,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(1, 0)_(1, 1)_(1, 2)_(2, 1)_nan_nan_nan_nan",125530,3056,0,186,6,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(1, 0)_(1, 1)_(1, 2)_(2, 1)_(2, 2)_nan_nan_nan",125589,2938,0,245,6,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(1, 0)_(1, 1)_(1, 2)_(2, 0)_(2, 2)_nan_nan_nan",124593,3918,0,252,15,0,0,0,0,0,0,0,0,0,0,0
PC28,124003,4592,0,21,162,0,0,0,0,0,0,0,0,0,0,0
"(1, 2)_(2, 0)_nan_nan_nan_nan_nan_nan_nan",125464,3188,0,120,6,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(1, 2)_(2, 0)_(2, 1)_(2, 2)_nan",125917,2788,0,70,3,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(1, 2)_nan_nan_nan_nan",125974,2674,0,127,3,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(1, 0)_(1, 2)_nan_nan_nan_nan_nan_nan",119652,8740,0,266,120,0,0,0,0,0,0,0,0,0,0,0
"(1, 0)_(2, 1)_nan_nan_nan_nan_nan_nan_nan",124433,4238,0,92,15,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(2, 2)_nan_nan_nan_nan",124972,3666,0,130,10,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(1, 0)_(1, 2)_(2, 2)_nan_nan_nan_nan_nan",126373,2382,0,22,1,0,0,0,0,0,0,0,0,0,0,0
PC41,125857,2908,0,3,10,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(1, 0)_(1, 2)_(2, 1)_nan_nan_nan_nan_nan",124008,4582,0,167,21,0,0,0,0,0,0,0,0,0,0,0
"(1, 1)_(1, 2)_(2, 0)_(2, 1)_nan_nan_nan_nan_nan",126449,2230,0,98,1,0,0,0,0,0,0,0,0,0,0,0
"(1, 1)_(1, 2)_(2, 0)_(2, 1)_(2, 2)_nan_nan_nan_nan",126465,2198,0,114,1,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(2, 0)_(2, 2)_nan_nan_nan",126482,2164,0,131,1,0,0,0,0,0,0,0,0,0,0,0
PC63,124937,3736,0,10,95,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(1, 0)_(1, 2)_(2, 0)_(2, 1)_nan_nan_nan_nan",125946,2730,0,99,3,0,0,0,0,0,0,0,0,0,0,0
PC100,125859,2904,0,3,12,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(1, 0)_(1, 1)_(1, 2)_(2, 0)_(2, 1)_(2, 2)_nan_nan",126443,2242,0,92,1,0,0,0,0,0,0,0,0,0,0,0
"(2, 0)_(2, 1)_nan_nan_nan_nan_nan_nan_nan",121145,7272,0,283,78,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(0, 2)_(2, 0)_(2, 1)_(2, 2)_nan_nan_nan_nan",123399,5294,0,57,28,0,0,0,0,0,0,0,0,0,0,0
PC17,126385,2358,0,1,34,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(0, 2)_(1, 2)_(2, 0)_(2, 1)_(2, 2)_nan_nan_nan",125441,3234,0,97,6,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 1)_(2, 2)_nan",125552,3012,0,208,6,0,0,0,0,0,0,0,0,0,0,0
